,XGBoost,RandomForest,MLP
MSE,0.00010188988777440709,0.00018350447212092539,1.5346324666307858e-05
RMSE,0.010094052098855399,0.013546382252133792,0.00391743853382639
MAE,0.007022033511041404,0.010226927578654921,0.0027538308678678337
MAPE,2.3958365586072548,3.486643706640027,0.9780211614966249
SMAPE,2.381334393274812,3.4515907231239487,0.9731146301233182
R2,0.9544571430757749,0.9146659553415405,0.9932609308694408
