BSG	AF	Ani	Ecc	EqD	prolif1	prolif2	alp	ars	vAF	vAni	vEcc	vEqD	tlength	tvolume	tnodes	scr	ulength	uarea	uvolume	vlength	varea	vvolume
20	0.000098	0.275475	0.524857	7.65304	0.202654	0.517197	1.570966	0.917147	0.210502	0.411407	0.413093	0.76426	2.784392	1.183953	1.175182	0.701584	0.347781	0.044792	0.211326	0.609787	2.008537	2.084614
5	0.000102	0.296	0.544059	5.75363	0.682999	0.517197	0.779994	0.103117	1.434744	0.490263	0.012973	0.364774	1.524331	0.165265	1.300517	0.749214	3.424748	2.228678	1.776873	0.51878	1.558878	1.436225
5	0.00004	0.333333	0.57735	3.19154	0.613288	0.751465	0.317128	0.628884	1.277625	0.662229	0.390745	0.761812	1.168786	1.162647	1.298584	0.747727	1.104315	1.724526	1.65078	0.440035	1.560823	2.082269
20	0.000049	0.625	0.790569	2.76395	0.65767	1.28032	0.72905	0.103117	0.784683	0.562822	0.397916	0.364774	0.961246	1.119367	1.385792	1.677044	0.369573	3.372475	3.096149	1.038233	2.084324	1.678317
5	0.000029	0.749062	0.865484	10.6451	0.115259	0.758628	0.758794	0.78463	0.210502	0.380231	0.40458	0.353849	1.164339	0.353686	1.305332	0.875376	0.429588	2.204073	1.661117	0.899014	1.844278	1.972235
20	0.00003	0.482939	0.694938	6.18039	0.081302	0.789515	0.246467	1.010371	1.393783	0.041687	0.398617	0.41359	1.186949	0.997905	0.115089	0.709829	0.64458	3.23452	2.137219	0.877044	2.014114	1.925001
10	0.000115	0.709091	0.842075	4.22201	0.263277	0.775098	1.720156	0.583661	1.284503	0.417886	0.012973	0.997603	0.730442	0.460882	1.620869	0.632116	0.077327	1.261542	3.278244	1.822277	1.614869	2.457207
20	0.000042	0.905719	0.951693	2.25676	0.565533	0.794471	1.330032	0.103117	0.24107	0.134798	0.165326	0.634967	0.976731	1.407936	1.561328	0.740726	2.221628	0.25308	0.013031	0.606321	2.047726	1.690892
10	0.00008	0.30945	0.556282	4.37019	0.662563	0.779189	0.781744	0.6767	0.889391	0.514249	0.487604	0.802198	1.110605	1.06064	1.879448	0.709669	0.778929	1.562936	2.300759	0.913133	1.909161	2.153684
20	0.000061	0.383276	0.619093	7.39928	0.663409	0.789284	0.819957	0.656519	0.348668	0.420342	0.302166	0.197087	1.060918	0.760281	1.380004	0.231192	1.146628	2.756698	2.295923	1.278553	1.994858	2.047903
5	0.000088	0.758169	0.870729	2.76395	0.682574	0.677264	0.793424	1.010371	0.802812	0.25538	0.636713	0.633327	1.129021	1.162874	1.298387	0.747359	0.904179	1.925	1.704774	0.901904	1.605676	2.064044
20	0.000174	0.647286	0.804541	10.0293	0.629483	0.517197	0.317128	0.103117	0.769202	0.007663	0.104302	0.41359	1.173764	1.045663	1.199025	0.875376	1.06473	2.619728	1.33784	0.899873	2.047758	2.162453
10	0.000092	0.59695	0.772625	4.78731	1.131188	0.753973	0.787626	1.010371	1.393783	0.469857	0.361849	0.903894	1.059152	1.075065	5.408166	0.731771	0.769139	3.671724	2.186346	0.911503	2.728129	0.864027
5	0.000029	0.934578	0.966736	4.91849	0.669888	0.896554	0.784015	0.103117	0.80421	0.390914	0.268325	0.908347	1.167697	1.160655	1.300591	0.231192	0.229451	1.776448	1.603156	0.901589	1.382487	1.890541
10	0.000092	0.272864	0.522364	4.91849	1.725923	0.589932	0.784052	0.690579	0.478083	0.415551	0.389646	0.068738	1.1645	1.119367	1.63605	0.701079	0.569709	2.690673	2.5099	0.281993	2.397753	3.907237
10	0.000084	0.717948	0.847318	5.86323	1.077121	0.371389	0.771982	0.983482	0.599163	0.335554	0.116582	0.068738	1.229912	0.753912	0.556179	0.632116	0.524336	2.647894	0.223999	0.914243	2.148544	2.789899
10	0.000187	0.601886	0.775813	4.37019	1.329433	0.731822	0.789476	0.558105	0.024802	0.335554	0.083643	0.068738	0.032031	1.103691	1.757095	0.632116	0.077327	1.693704	3.675163	1.744074	5.600282	7.059914
5	0.000029	0.625	0.790569	2.25676	0.375592	0.751937	0.802029	1.010371	0.116659	0.34579	0.403849	0.846132	1.169756	0.09316	1.296972	0.747388	0.817308	2.953062	1.60286	1.207814	0.188798	0.513039
20	0.000027	0.327965	0.572683	1.95441	0.190532	0.589932	0.843057	0.983482	1.239531	0.452214	0.50136	0.41359	0.834859	0.668186	3.643807	0.737177	1.104315	3.587333	3.471506	1.302151	0.580994	1.556275
20	0.000091	0.657895	0.811107	10.94	0.534058	1.244554	0.504011	0.652406	0.054912	0.337091	0.509116	1.043848	1.396318	1.66158	0.703141	0.632116	0.01995	1.421011	0.00403	0.258227	2.10591	2.237801
10	0.000046	0.537733	0.733302	4.37019	1.942191	0.159977	0.413272	0.983482	0.526268	0.401998	0.449833	0.551125	1.040129	1.069449	1.598679	0.068638	5.997421	1.337391	1.185763	0.788949	2.947219	2.18566
5	0.000026	0.538042	0.733514	5.97082	1.725923	1.244554	0.7798	0.103117	0.805078	0.392098	0.403849	1.556094	0.222338	1.160152	1.438358	0.749726	0.580182	1.351201	1.670184	0.90387	1.511824	1.565171
5	0.00011	0.752864	0.867677	2.76395	0.684142	0.752103	0.246467	0.103117	0.803577	0.40496	0.617567	0.408202	1.169534	0.460882	1.438358	0.749386	0.806712	1.817672	1.810995	0.904315	1.627646	2.165252
5	0.000146	0.717741	0.847196	3.74241	0.477464	0.750798	0.789569	0.103117	0.804008	0.610267	0.391871	0.762989	1.168459	1.161721	1.299416	0.231192	0.789572	1.644591	1.589446	0.903342	1.446302	2.122528
20	0.000049	0.658581	0.81153	3.56825	0.263277	0.788315	1.170158	0.983482	2.03586	0.364299	0.379849	1.1975	1.107053	1.013757	1.860989	0.632116	0.698417	3.417715	3.329194	0.165111	2.08346	1.753356
10	0.000015	0.625	0.790569	2.25676	0.648774	1.244554	1.720156	0.678589	0.683386	0.429639	0.394488	0.66877	1.012039	1.048314	1.8096	0.707212	0.802632	1.957853	2.319544	0.914219	1.678654	2.726588
5	0.000022	0.625	0.790569	2.25676	0.045047	1.244554	0.485814	0.141096	0.803705	0.404738	0.390914	0.751092	0.114999	1.164169	1.297883	0.875376	1.037149	1.880294	1.79673	0.452704	1.643228	2.511269
10	0.000103	0.661875	0.813557	1.95441	0.115259	0.795213	0.79308	1.010371	1.8173	0.555017	0.426251	0.881974	0.305463	1.048003	1.975545	0.708763	0.816661	1.405156	2.304301	0.914925	1.541417	1.942342
